Fon Kodu,Fon Adı,Şemsiye Fon Türü,Alt Kategori,Portföy Yönetim Şirketi,Döviz Cinsi
AAL,ATA PORTFÖY PARA PİYASASI (TL) FONU,Para Piyasası Şemsiye Fonu,Para Piyasası,ATA,TL
AAS,ATA PORTFÖY FON SEPETİ SERBEST FONU,Serbest Şemsiye Fonu,Fon Sepeti,ATA,TL
AAV,ATA PORTFÖY İKİNCİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,Hisse Senedi,ATA,TL
AC1,PARDUS PORTFÖY KISA VADELİ KATILIM SERBEST FONU,Serbest Şemsiye Fonu,Kısa Vade,PARDUS,TL
AC4,PARDUS PORTFÖY PARA PİYASASI (TL) FON,Para Piyasası Şemsiye Fonu,Para Piyasası,PARDUS,TL
AC5,PARDUS PORTFÖY İSTATİSTİKSEL ARBİTRAJ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,İstatiksel Arbitraj,PARDUS,TL
AC6,PARDUS PORTFÖY DÖRDÜNCÜ SERBEST (DÖVİZ) FON,Serbest Şemsiye Fonu,Döviz,PARDUS,USD
ACC,İSTANBUL PORTFÖY DÖRDÜNCÜ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN),Hisse Senedi Şemsiye Fonu,Hisse Senedi,İSTANBUL,TL
ACD,İSTANBUL PORTFÖY İKİNCİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,Değişken,İSTANBUL,TL
ACU,İSTANBUL PORTFÖY URARTU SERBEST (DÖVİZ) FON,Serbest Şemsiye Fonu,Döviz,İSTANBUL,USD
ADE,AK PORTFÖY MUTLAK GETİRİ HEDEFLİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,İstatiksel Arbitraj,AK,TL
ADP,AK PORTFÖY BIST BANKA ENDEKSİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,BIST Endeks,AK,TL
AED,ATA PORTFÖY BİRİNCİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,Değişken,ATA,TL
AES,AK PORTFÖY PETROL YABANCI BYF FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,Emtia,AK,TL
AEV,ALLBATROSS PORTFÖY SANAYİ ŞİRKETLERİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,Tematik,ALLBATROSS,TL
AFA,AK PORTFÖY AMERİKA YABANCI HİSSE SENEDİ FONU,Hisse Senedi Şemsiye Fonu,Yabancı Hisse Ağırlıklı,AK,TL
AFO,AK PORTFÖY ALTIN FONU,Kıymetli Madenler Şemsiye Fonu,Altın,AK,TL
AFS,AK PORTFÖY SAĞLIK SEKTÖRÜ YABANCI HİSSE SENEDİ FONU,Hisse Senedi Şemsiye Fonu,Yabancı Hisse Ağırlıklı,AK,TL
AFT,AK PORTFÖY YENİ TEKNOLOJİLER YABANCI HİSSE SENEDİ FONU,Hisse Senedi Şemsiye Fonu,Teknoloji Temalı,AK,TL
AFV,AK PORTFÖY AVRUPA YABANCI HİSSE SENEDİ FONU,Hisse Senedi Şemsiye Fonu,Yabancı Hisse Ağırlıklı,AK,TL
AGC,AK PORTFÖY İKİNCİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,Değişken,AK,TL
AHI,ATLAS PORTFÖY BİRİNCİ HİSSE SENEDİ FONU(HİSSE SENEDİ YOĞUN),Hisse Senedi Şemsiye Fonu,Hisse Senedi,ATLAS,TL
AHN,ATLAS PORTFÖY SERBEST(DÖVİZ)FON,Serbest Şemsiye Fonu,Döviz,ATLAS,USD
AHU,ATLAS PORTFÖY BİRİNCİ ÖZEL SEKTÖR BORÇLANMA ARAÇLARI FONU,Borçlanma Araçları Şemsiye Fonu,Özel Sektör Borçlanma Araçları,ATLAS,TL
AHV,AZİMUT PORTFÖY DENGELİ FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,Fon Sepeti,AZİMUT,TL
AIS,AK PORTFÖY PARA PİYASASI KATILIM FONU,Katılım Şemsiye Fonu,Kira Sertifikası,AK,TL
AJ1,A1 CAPİTAL PORTFÖY İSTATİSTİKSEL ARBİTRAJ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,İstatiksel Arbitraj,A1 CAPİTAL,TL
AJK,AK PORTFÖY 0-5 YIL VADELİ SERBEST (DÖVİZ) FON,Serbest Şemsiye Fonu,Döviz,AK,USD
AK2,AK PORTFÖY UZUN VADELİ BORÇLANMA ARAÇLARI FONU,Borçlanma Araçları Şemsiye Fonu,Borçlanma Araçları,AK,TL
AK3,AK PORTFÖY HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,Hisse Senedi,AK,TL
AKE,AK PORTFÖY EUROBOND (AMERİKAN DOLARI) BORÇLANMA ARAÇLARI FONU,Borçlanma Araçları Şemsiye Fonu,Eurobond,AK,TL
